,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
4,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
5,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
6,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1
8,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
9,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
11,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
12,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
13,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
14,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
15,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
16,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
